ticker,adv_21,adv_dollars,Close
GILD,6770252.380952381,833959690.3518313,123.18000030517578
ARES,5093228.571428572,831367677.9536656,163.22999572753906
IONQ,18239261.904761903,826420981.9525763,45.310001373291016
RTX,4454657.142857143,819701436.3869803,184.00999450683594
RGTI,36259642.85714286,812578590.895789,22.40999984741211
COF,3318504.761904762,809615610.812814,243.97000122070312
SPGI,1524909.5238095238,804679510.3419713,527.6900024414062
CEG,2245904.761904762,802057497.6050968,357.1199951171875
NEE,9785195.238095239,788001760.5789912,80.52999877929688
FCX,15241928.57142857,783587545.5314091,51.40999984741211
DHR,3364704.761904762,776136441.267613,230.6699981689453
ZTS,6133876.19047619,775383311.7010207,126.41000366210938
SBUX,9037823.80952381,770474479.7619048,85.25
ANET,5809828.571428572,769453710.1841519,132.44000244140625
GM,9282490.476190476,764227457.9015095,82.33000183105469
FISV,11297323.80952381,763021260.438247,67.54000091552734
FIX,785823.8095238095,744120134.1968354,946.9299926757812
HON,3764447.619047619,739186936.773827,196.36000061035156
ABT,5835619.047619048,734004156.6859654,125.77999877929688
TGT,7219457.142857143,703391711.6317749,97.43000030517578
TJX,4527542.857142857,703353810.4910715,155.35000610351562
CMG,18908300.0,700363449.3110657,37.040000915527344
REGN,898947.619047619,695731522.4804106,773.9400024414062
VST,4275328.571428572,695253911.4100865,162.6199951171875
PGR,3016014.285714286,693592808.9673724,229.97000122070312
MPWR,745114.2857142857,688418519.7038922,923.9099731445312
WELL,3657400.0,687591200.0,188.0
COP,7278100.0,684869198.8945007,94.0999984741211
DELL,5331823.80952381,682046891.9514247,127.91999816894531
LOW,2802723.8095238097,681566355.4722378,243.17999267578125
NXPI,3073157.1428571427,676033095.1557704,219.97999572753906
UNP,2884652.380952381,672297076.8621535,233.05999755859375
LMT,1359561.9047619049,663466209.5238096,488.0
ADP,2532533.3333333335,657268372.9085287,259.5299987792969
DE,1393038.0952380951,654644325.8771623,469.94000244140625
MDLZ,11919423.80952381,653303635.3688376,54.810001373291016
CCL,20905476.19047619,644306769.8106312,30.81999969482422
DG,4706857.142857143,639285371.6169084,135.82000732421875
RCL,2242276.1904761903,631649230.2286783,281.70001220703125
HPE,26219538.095238097,631104273.9508129,24.06999969482422
JCI,5213800.0,630556984.7290039,120.94000244140625
MCK,750285.7142857143,620733892.8222656,827.3300170898438
ABNB,4485352.380952381,614089610.9020414,136.91000366210938
AZO,179542.85714285713,610239257.5334821,3398.85009765625
CB,1935652.380952381,608065867.3066639,314.1400146484375
VRTX,1338128.5714285714,607162444.9323381,453.739990234375
MSI,1580819.0476190476,606939669.0022787,383.94000244140625
BLK,559438.0952380953,606044915.7319568,1083.31005859375
HCA,1277700.0,604684314.4775391,473.260009765625
AMT,3412247.619047619,603012403.4034365,176.72000122070312
SMCI,20318676.19047619,602448741.2966592,29.649999618530273
F,45280804.76190476,599065026.2720926,13.229999542236328
LEN,5751580.952380952,597531741.6323707,103.88999938964844
WDAY,2689795.238095238,583497261.2993512,216.92999267578125
UPS,5835823.80952381,581481480.8190482,99.63999938964844
KVUE,33403552.38095238,578883560.213416,17.329999923706055
CVS,7176490.476190476,573042753.573354,79.8499984741211
SYK,1610938.0952380951,570465390.4198055,354.1199951171875
MCHP,8765247.61904762,566936218.6749413,64.68000030517578
TER,2874219.0476190476,565272654.8323858,196.6699981689453
BX,3642452.380952381,563778775.0774566,154.77999877929688
MDT,5825461.904761905,563089169.0477644,96.66000366210938
ELV,1583114.2857142857,552190243.5320172,348.79998779296875
KMB,5400400.0,548518626.3519287,101.56999969482422
ULTA,901523.8095238095,547125797.9678199,606.8900146484375
